date,temperature,dew_point_temperature,sunrise,precip_prob,humidity,wind_speed,icon_clear,icon_cloudy,icon_fog,icon_partly-cloudy,icon_rain,icon_sleet,icon_snow
20150628,5,-5,0,0,0.47,13.74,0,0,0,1,0,0,0
20150628,5,-6.1,0,0,0.47,16.22,0,0,0,1,0,0,0
20150628,3.9,-6.1,0,0,0.48,12.85,0,0,0,1,0,0,0
20150628,3.3,-7.8,0,0,0.49,13.14,0,0,0,1,0,0,0
20150628,2.8,-7.8,0,0,0.5,10.42,0,0,0,1,0,0,0
20150628,2.2,-8.9,1,0,0.5,13.57,0,0,0,1,0,0,0
20150628,1.1,-10,1,0,0.48,13.87,0,0,0,1,0,0,0
20150628,0.6,-10,1,0,0.45,12.33,1,0,0,0,0,0,0
20150628,0,-10,1,0,0.43,14.78,1,0,0,0,0,0,0
20150628,-0.6,-10,1,0,0.4,13.4,1,0,0,0,0,0,0
20150628,0,-10,1,0,0.41,13.6,1,0,0,0,0,0,0
20150628,0,-10.6,1,0,0.41,12.68,1,0,0,0,0,0,0
20150628,0,-11.1,1,0,0.4,12.47,1,0,0,0,0,0,0
20150628,0.6,-11.7,1,0,0.42,9.71,1,0,0,0,0,0,0
20150628,1.1,-12.2,0,0,0.45,9.03,1,0,0,0,0,0,0
20150628,1.1,-11.7,0,0,0.47,9.87,1,0,0,0,0,0,0
20150628,1.7,-11.1,0,0,0.49,8.03,1,0,0,0,0,0,0
20150628,1.1,-11.1,0,0,0.5,8.96,1,0,0,0,0,0,0
20150628,0.6,-10,0,0,0.52,8.02,1,0,0,0,0,0,0
20150628,0.6,-10,0,0,0.54,8.48,1,0,0,0,0,0,0
20150628,0,-10.6,0,0,0.55,8.25,1,0,0,0,0,0,0
20150628,-0.6,-10,0,0,0.58,8.2,1,0,0,0,0,0,0
20150628,-1.1,-11.1,0,0,0.6,5.53,1,0,0,0,0,0,0
20150628,-1.7,-10.6,0,0,0.61,4.47,1,0,0,0,0,0,0
20150628,-2.2,-10.6,0,0,0.63,5.11,1,0,0,0,0,0,0
20150628,-2.2,-10,0,0,0.66,3.57,1,0,0,0,0,0,0
20150628,-2.8,-10,0,0,0.66,2.19,1,0,0,0,0,0,0
20150628,-2.8,-9.4,0,0,0.67,2.92,1,0,0,0,0,0,0
20150628,-3.3,-10,0,0,0.7,3.62,1,0,0,0,0,0,0
20150628,-3.3,-9.4,1,0,0.68,2.9,1,0,0,0,0,0,0
20150628,-3.3,-9.4,1,0,0.63,1.5,1,0,0,0,0,0,0
20150628,-3.3,-9.4,1,0,0.56,3.72,1,0,0,0,0,0,0
20150628,-2.8,-8.9,1,0,0.51,5.53,1,0,0,0,0,0,0
20150628,-2.8,-9.4,1,0,0.47,5.56,1,0,0,0,0,0,0
20150628,-2.2,-8.9,1,0,0.44,5.76,1,0,0,0,0,0,0
20150628,-1.1,-8.3,1,0,0.41,5.96,1,0,0,0,0,0,0
20150628,0.6,-8.3,1,0,0.41,5.55,1,0,0,0,0,0,0
20150628,1.7,-8.3,1,0,0.45,4.04,0,0,0,1,0,0,0
20150628,3.3,-7.8,0,0,0.5,3.67,0,0,0,1,0,0,0
20150628,5,-7.8,0,0,0.55,3.33,1,0,0,0,0,0,0
20150628,5,-7.2,0,0,0.6,2.17,1,0,0,0,0,0,0
20150628,5.6,-6.7,0,0,0.62,1.56,1,0,0,0,0,0,0
20150628,5.6,-6.1,0,0,0.62,1.81,1,0,0,0,0,0,0
20150628,5,-5.6,0,0,0.65,0.73,1,0,0,0,0,0,0
20150628,4.4,-5,0,0,0.66,1.46,1,0,0,0,0,0,0
20150628,5,-5,0,0,0.66,9999,1,0,0,0,0,0,0
20150628,5,-5,0,0,0.73,2.08,1,0,0,0,0,0,0
20150628,5,-5,0,0,0.74,1.61,1,0,0,0,0,0,0
20150628,5.6,-5,0,0,0.79,0.64,1,0,0,0,0,0,0
20150628,5,-3.9,0,0,0.78,0.05,1,0,0,0,0,0,0
20150628,4.4,-3.3,0,0,0.86,0.15,1,0,0,0,0,0,0
20150628,4.4,-2.8,0,0,0.86,0.04,1,0,0,0,0,0,0
20150628,3.9,-1.1,0,0,0.86,0.29,1,0,0,0,0,0,0
20150628,3.3,-1.7,1,0,0.85,0.5,1,0,0,0,0,0,0
20150628,3.9,-1.1,1,0,0.84,0.25,0,0,0,1,0,0,0
20150628,3.3,-1.1,1,0,0.78,0.27,1,0,0,0,0,0,0
20150628,3.3,-1.1,1,0,0.75,0.59,1,0,0,0,0,0,0
20150628,3.3,-0.6,1,0,0.69,1.41,0,0,0,1,0,0,0
20150628,4.4,0,1,0,0.67,2.92,0,0,0,1,0,0,0
20150628,6.1,0.6,1,0,0.7,3.39,0,1,0,0,0,0,0
20150628,6.7,0.6,1,0,0.77,1.96,0,1,0,0,0,0,0
20150628,8.3,0.6,1,0,0.81,2.7,0,1,0,0,0,0,0
20150628,7.8,0.6,0,0.83,0.87,4.06,0,0,0,0,1,0,0
20150628,7.8,1.7,0,1,0.92,4.6,0,0,0,0,1,0,0
20150628,7.2,2.8,0,1,0.93,5.12,0,0,0,0,1,0,0
20150628,6.95,3.05,0,1,0.95,5.63,0,0,0,0,1,0,0
20150628,6.85,5.8,0,1,0.96,5.39,0,0,0,0,1,0,0
20150628,6.1,5.2,0,0.7,0.97,5.53,0,1,0,0,0,0,0
20150628,6.775,5.7,0,0,0.96,4.48,1,0,0,0,0,0,0
20150628,6.7,5.766666667,0,0.99,0.97,8.55,0,0,0,0,1,0,0
20150628,6.866666667,5.766666667,0,1,0.97,10.6,0,0,0,0,1,0,0
20150628,7.8,6.7,0,1,0.97,11.52,0,0,0,0,1,0,0
20150628,8.3,7.2,0,1,0.98,13.63,0,0,0,0,1,0,0
20150628,8.225,7.7,0,1,0.96,11.96,0,0,0,0,1,0,0
20150628,11.53333333,10.66666667,0,1,0.97,13.96,0,0,0,0,1,0,0
20150628,13.9,12.8,0,1,0.98,14.4,0,0,0,0,1,0,0
20150628,14.15,13.05,0,1,0.98,12.85,0,0,0,0,1,0,0
20150628,14.02,13.24,1,1,0.96,11.79,0,0,0,0,1,0,0
20150628,14.15,13.3,1,1,0.96,8.58,0,0,0,0,1,0,0
20150628,15,14.4,1,1,0.96,5.52,0,0,0,0,1,0,0
20150628,15,14.4,1,1,0.96,3.77,0,0,0,0,1,0,0
20150628,15.2,14.4,1,1,0.97,3.93,0,0,0,0,1,0,0
20150628,16.1,15,1,1,0.97,3.69,0,0,0,0,1,0,0
20150628,15.68,14.64,1,0.89,0.97,5.26,0,0,0,0,1,0,0
20150628,14.46666667,14.1,1,0.58,0.98,7.69,0,1,0,0,0,0,0
20150628,14.6,13.91666667,1,0.24,0.98,5.12,0,1,0,0,0,0,0
20150628,14.51428571,13.91428571,0,0,0.98,6.99,0,1,0,0,0,0,0
20150628,14.4,13.78,0,0,0.97,9.05,0,1,0,0,0,0,0
20150628,14.4,13.3,0,0,0.97,7.9,0,1,0,0,0,0,0
20150628,14.23333333,13.5,0,0,0.95,9.29,0,1,0,0,0,0,0
20150628,13.33333333,12.76666667,0,0,0.92,11.5,0,0,0,1,0,0,0
20150628,12.96666667,12.8,0,0,0.91,9.03,0,0,0,1,0,0,0
20150628,13.15,12.1,0,0,0.92,6.25,0,0,0,1,0,0,0
20150628,13.3,12.2,0,0,0.92,2.61,0,0,0,1,0,0,0
20150628,13.05,11.65,0,0,0.91,1.87,0,0,0,1,0,0,0
20150628,12.33333333,10.9,0,0,0.92,2.3,0,0,0,1,0,0,0
20150628,11.7,10,0,0.29,0.92,4.53,0,1,0,0,0,0,0
20150628,11.4,10,0,0.24,0.92,4.97,0,1,0,0,0,0,0
20150628,11.1,9.4,0,0,0.92,5.16,0,0,0,1,0,0,0
20150628,11.1,10,0,0,0.88,8.58,0,0,0,1,0,0,0
20150628,11.7,10,0,0,0.82,10.62,0,1,0,0,0,0,0
20150628,11.7,10,1,0,0.78,10.21,0,1,0,0,0,0,0
20150628,11.7,9.7,1,0,0.66,11.21,0,0,0,1,0,0,0
20150628,11.7,9.4,1,0,0.63,10.64,0,0,0,1,0,0,0
20150628,10.3,6.65,1,0,0.62,14.14,0,0,0,1,0,0,0
20150628,6.433333333,4.3,1,0,0.6,13.96,0,0,0,1,0,0,0
20150628,6.1,0,1,0,0.59,13.73,0,0,0,1,0,0,0
20150628,6.1,-1.1,1,0,0.58,12.36,0,1,0,0,0,0,0
20150628,6.1,-1.1,1,0,0.56,10.33,0,1,0,0,0,0,0
20150628,6.1,-1.1,1,0,0.56,10.73,0,0,0,1,0,0,0
20150628,5.6,-1.7,0,0,0.59,9.53,0,0,0,1,0,0,0
20150628,6.1,-1.7,0,0,0.58,11.23,0,0,0,1,0,0,0
20150628,6.1,-2.2,0,0,0.55,12.5,0,0,0,1,0,0,0
20150628,6.1,-2.2,0,0,0.55,11.46,0,1,0,0,0,0,0
20150628,6.1,-2.2,0,0,0.54,12.45,0,1,0,0,0,0,0
20150628,6.1,-2.2,0,0,0.54,10.53,0,0,0,1,0,0,0
20150628,6.1,-2.8,0,0,0.54,9,0,0,0,1,0,0,0
20150628,5.6,-3.3,0,0,0.53,10.19,0,0,0,1,0,0,0
20150628,5.6,-3.9,0,0,0.55,10.5,0,0,0,1,0,0,0
20150628,5.6,-3.9,0,0,0.55,8.54,0,0,0,1,0,0,0
20150628,5,-3.9,0,0,0.54,8.47,0,1,0,0,0,0,0
20150628,4.4,-5,0,0,0.57,7.62,0,0,0,1,0,0,0
20150628,3.9,-5,0,0,0.59,6.89,0,0,0,1,0,0,0
20150628,3.9,-5,0,0,0.6,5.75,0,0,0,1,0,0,0
20150628,3.9,-5.6,0,0,0.6,6.38,1,0,0,0,0,0,0
20150628,3.3,-5,1,0,0.61,6.05,0,0,0,1,0,0,0
20150628,2.8,-5,1,0,0.57,6.88,0,0,0,1,0,0,0
20150628,2.2,-5.6,1,0,0.54,7.68,0,0,0,1,0,0,0
20150628,2.2,-5,1,0,0.53,8.69,1,0,0,0,0,0,0
20150628,2.2,-5,1,0,0.5,6.84,1,0,0,0,0,0,0
20150628,2.8,-5,1,0,0.48,6.64,1,0,0,0,0,0,0
20150628,3.3,-5,1,0,0.47,4.66,1,0,0,0,0,0,0
20150628,3.9,-5.6,1,0,0.47,4.18,1,0,0,0,0,0,0
20150628,5,-5,1,0,0.49,4.27,1,0,0,0,0,0,0
20150628,5.6,-5,0,0,0.54,2.47,1,0,0,0,0,0,0
20150628,6.1,-5,0,0,0.57,0.55,1,0,0,0,0,0,0
20150628,6.1,-5,0,0,0.58,0.62,0,0,0,1,0,0,0
20150628,6.1,-4.4,0,0,0.6,1.76,0,0,0,1,0,0,0
20150628,5.6,-4.4,0,0,0.6,1.8,0,0,0,1,0,0,0
20150628,5.6,-4.4,0,0,0.61,0.51,0,0,0,1,0,0,0
20150628,5.6,-3.3,0,0,0.63,1.31,1,0,0,0,0,0,0
20150628,5,-4.4,0,0,0.68,1.27,0,1,0,0,0,0,0
20150628,4.4,-3.9,0,0.38,0.85,0.61,0,1,0,0,0,0,0
20150628,4.4,-3.9,0,0.46,0.89,0.33,0,1,0,0,0,0,0
20150628,4.4,-4.4,0,0.57,0.92,0.88,0,1,0,0,0,0,0
20150628,4.4,-3.3,0,0.81,0.94,0.69,0,0,0,0,1,0,0
20150628,3.05,0,0,0.63,0.94,0.57,0,1,0,0,0,0,0
20150628,2.8,1.4,0,0.37,0.95,0.28,0,1,0,0,0,0,0
20150628,2.8,1.7,0,0.18,0.93,0.39,0,1,0,0,0,0,0
20150628,2.8,1.7,1,0.23,0.95,1.72,0,1,0,0,0,0,0
20150628,2.8,1.7,1,0,0.94,4.27,0,1,0,0,0,0,0
20150628,2.8,1.7,1,0,0.92,6.42,0,1,0,0,0,0,0
20150628,3.05,1.95,1,0.17,0.87,7.68,0,1,0,0,0,0,0
20150628,3.3,2.033333333,1,0,0.69,8.8,0,0,0,1,0,0,0
20150628,3.3,1.7,1,0,0.57,8.6,0,0,0,1,0,0,0
20150628,3.3,1.7,1,0,0.53,8.77,0,0,0,1,0,0,0
20150628,3.95,1.85,1,0,0.54,8.92,0,0,0,1,0,0,0
20150628,5,0.6,1,0,0.54,9.18,0,1,0,0,0,0,0
20150628,6.1,-3.3,0,0,0.53,11.61,0,1,0,0,0,0,0
20150628,6.1,-4.4,0,0,0.52,8.26,0,0,0,1,0,0,0
20150628,5.6,-3.3,0,0,0.55,8.51,0,0,0,1,0,0,0
20150628,5.6,-2.8,0,0,0.57,9.85,0,0,0,1,0,0,0
20150628,5.6,-3.9,0,0,0.59,9.6,1,0,0,0,0,0,0
20150628,5,-5,0,0,0.6,9.69,1,0,0,0,0,0,0
20150628,3.9,-5,0,0,0.59,8.53,1,0,0,0,0,0,0
20150628,3.9,-4.4,0,0,0.57,8.96,1,0,0,0,0,0,0
20150628,3.3,-4.4,0,0,0.59,8.37,1,0,0,0,0,0,0
20150628,3.3,-4.4,0,0,0.6,5.49,1,0,0,0,0,0,0
20150628,2.8,-5,0,0,0.62,5.99,1,0,0,0,0,0,0
20150628,2.2,-5.6,0,0,0.64,5.78,1,0,0,0,0,0,0
20150628,2.2,-6.1,0,0,0.65,5.18,1,0,0,0,0,0,0
20150628,1.7,-6.1,0,0,0.65,5.79,1,0,0,0,0,0,0
20150628,1.7,-6.1,0,0,0.67,6.91,1,0,0,0,0,0,0
20150628,1.1,-5.6,1,0,0.67,6.69,0,0,0,1,0,0,0
20150628,1.1,-5.6,1,0,0.63,7.02,0,0,0,1,0,0,0
20150628,1.1,-5.6,1,0,0.54,7.67,0,0,0,1,0,0,0
20150628,1.1,-5.6,1,0,0.48,9.08,0,0,0,1,0,0,0
20150628,1.1,-5,1,0,0.47,6.51,0,0,0,1,0,0,0
20150628,1.7,-5,1,0,0.47,8.64,0,0,0,1,0,0,0
20150628,3.3,-5.6,1,0,0.47,7.68,0,0,0,1,0,0,0
20150628,3.9,-6.7,1,0,0.46,8.55,0,0,0,1,0,0,0
20150628,3.9,-6.7,1,0,0.48,8.22,0,0,0,1,0,0,0
20150628,4.4,-7.2,0,0,0.5,8.86,0,0,0,1,0,0,0
20150628,3.9,-6.7,0,0,0.51,6.96,0,0,0,1,0,0,0
20150628,4.4,-6.7,0,0,0.51,8.22,0,0,0,1,0,0,0
20150628,3.3,-7.2,0,0,0.5,6.38,0,0,0,1,0,0,0
20150628,2.8,-7.2,0,0,0.55,5.1,1,0,0,0,0,0,0
20150628,2.8,-7.2,0,0,0.56,4.92,1,0,0,0,0,0,0
20150628,2.8,-7.2,0,0,0.59,4.36,1,0,0,0,0,0,0
20150628,2.2,-7.8,0,0,0.6,4.46,1,0,0,0,0,0,0
20150628,1.7,-7.2,0,0,0.62,5.01,1,0,0,0,0,0,0
20150628,1.7,-7.2,0,0,0.62,3.9,1,0,0,0,0,0,0
20150628,1.1,-6.7,0,0,0.57,4.32,1,0,0,0,0,0,0
20150628,1.1,-6.7,0,0,0.62,3.64,1,0,0,0,0,0,0
20150628,0.6,-6.7,0,0,0.63,3.73,1,0,0,0,0,0,0
20150628,0.6,-6.7,0,0,0.64,3.7,0,0,0,1,0,0,0
20150628,0,-7.2,0,0,0.65,3.11,0,1,0,0,0,0,0
20150628,0,-7.2,1,0,0.66,2.69,0,1,0,0,0,0,0
20150628,0.6,-7.2,1,0,0.64,2.96,0,1,0,0,0,0,0
20150628,1.1,-6.7,1,0,0.61,5,0,1,0,0,0,0,0
20150628,1.1,-6.1,1,0,0.56,5.81,0,1,0,0,0,0,0
20150628,1.7,-5.6,1,0,0.51,8.19,0,0,0,1,0,0,0
20150628,2.2,-5,1,0,0.49,5.91,0,0,0,1,0,0,0
20150628,2.8,-5,1,0,0.49,5.79,0,0,0,1,0,0,0
20150628,3.3,-5,1,0,0.48,6.88,0,0,0,1,0,0,0
20150628,4.4,-5.6,1,0,0.49,6.1,0,0,0,1,0,0,0
20150628,5,-5,0,0,0.53,4.12,1,0,0,0,0,0,0
20150628,5.6,-5,0,0,0.56,4.53,1,0,0,0,0,0,0
20150628,5.6,-5,0,0,0.6,4.4,1,0,0,0,0,0,0
20150628,5.6,-4.4,0,0,0.64,5.17,1,0,0,0,0,0,0
20150628,5.6,-4.4,0,0,0.65,5,1,0,0,0,0,0,0
20150628,5,-4.4,0,0,0.68,4.81,1,0,0,0,0,0,0
20150628,5,-3.9,0,0,0.7,6.32,0,0,0,1,0,0,0
20150628,4.4,-3.3,0,0,0.68,5.6,0,1,0,0,0,0,0
20150628,3.9,-3.3,0,0,0.68,4.51,0,1,0,0,0,0,0
20150628,3.9,-2.8,0,0,0.7,3.86,0,1,0,0,0,0,0
20150628,4.4,-2.2,0,0,0.71,3.13,0,1,0,0,0,0,0
20150628,4.4,-2.2,0,0,0.72,2.87,0,0,0,1,0,0,0
20150628,5,-1.7,0,0,0.68,5.36,0,0,0,1,0,0,0
20150628,4.4,-1.7,0,0,0.66,3.42,0,0,0,1,0,0,0
20150628,4.4,-1.7,0,0,0.68,4.24,1,0,0,0,0,0,0
20150628,4.4,-1.7,1,0,0.66,4.48,1,0,0,0,0,0,0
20150628,4.4,-2.2,1,0,0.59,4.8,1,0,0,0,0,0,0
20150628,3.9,-2.8,1,0,0.51,4.28,1,0,0,0,0,0,0
20150628,3.3,-3.3,1,0,0.5,3.27,1,0,0,0,0,0,0
20150628,3.3,-3.9,1,0,0.49,2.13,1,0,0,0,0,0,0
20150628,3.9,-5,1,0,0.48,2.75,1,0,0,0,0,0,0
20150628,4.4,-5.6,1,0,0.49,3.27,0,0,0,1,0,0,0
20150628,5.6,-5.6,1,0,0.53,5.57,1,0,0,0,0,0,0
20150628,5.6,-3.9,1,0,0.58,6.99,1,0,0,0,0,0,0
20150628,6.1,-3.9,0,0,0.63,5.51,1,0,0,0,0,0,0
20150628,6.1,-3.9,0,0,0.68,4.32,1,0,0,0,0,0,0
20150628,6.1,-3.3,0,0,0.7,3.78,0,0,0,1,0,0,0
20150628,5,-2.2,0,0,0.72,4.35,0,0,0,1,0,0,0
20150628,4.4,-2.8,0,0,0.72,6.1,0,0,0,1,0,0,0
20150628,4.4,-2.2,0,0,0.71,5.44,0,1,0,0,0,0,0
20150628,4.4,-1.1,0,0,0.72,6.21,0,1,0,0,0,0,0
20150628,4.2,-1.05,0,0,0.75,6.69,0,1,0,0,0,0,0
20150628,4.4,-1.1,0,0,0.75,5.79,0,1,0,0,0,0,0
20150628,5,-0.6,0,0,0.82,6.25,0,1,0,0,0,0,0
20150628,5.6,0,0,0,0.86,5.37,0,1,0,0,0,0,0
20150628,6.1,1.1,0,1,0.92,4.66,0,0,0,0,1,0,0
20150628,6.7,1.7,0,0.98,0.96,4.38,0,0,0,0,1,0,0
20150628,6.7,2.8,0,1,0.95,3.53,0,0,0,0,1,0,0
20150628,6.7,3.9,0,1,0.95,3.93,0,0,0,0,1,0,0
20150628,6.7,5,1,1,0.97,4.82,0,0,0,0,1,0,0
20150628,6.7,6.1,1,1,0.98,4.36,0,0,0,0,1,0,0
20150628,7.033333333,5.933333333,1,1,0.96,5.41,0,0,0,0,1,0,0
20150628,7.8,6.7,1,1,0.99,10.12,0,0,0,0,1,0,0
20150628,8.3,7.5,1,1,0.97,8.89,0,0,0,0,1,0,0
20150628,9,8.04,1,1,0.96,7.46,0,0,0,0,1,0,0
20150628,10.2,9.433333333,1,1,0.96,4.57,0,0,0,0,1,0,0
20150628,10.975,10.45,1,1,0.96,5.89,0,0,0,0,1,0,0
20150628,11.64,10.68,1,0.97,0.97,3.69,0,0,0,0,1,0,0
20150628,11.95,10.85,0,1,0.95,5.05,0,0,0,0,1,0,0
20150628,13.04,12.16,0,0.94,0.96,5.84,0,0,0,0,1,0,0
20150628,13.93333333,13.2,0,0.24,0.97,4.28,0,1,0,0,0,0,0
20150628,15,14.4,0,0,0.97,5.6,0,1,0,0,0,0,0
20150628,15.25,14.3,0,0,0.95,6.07,0,1,0,0,0,0,0
20150628,15,13.93333333,0,0,0.95,5.71,0,1,0,0,0,0,0
20150628,15,14.26666667,0,0,0.93,6.07,0,1,0,0,0,0,0
20150628,15,13.9,0,0,0.94,5.36,0,1,0,0,0,0,0
20150628,15,13.3,0,0,0.93,5.97,0,1,0,0,0,0,0
20150628,14.4,12.8,0,0,0.93,6.07,0,1,0,0,0,0,0
20150628,13.9,12.8,0,0,0.91,5.65,0,0,0,1,0,0,0
20150628,13.9,12.2,0,0,0.92,4.24,1,0,0,0,0,0,0
20150628,13.5,11.7,0,0,0.9,3.55,1,0,0,0,0,0,0
20150628,13.3,11.4,0,0,0.88,5.67,1,0,0,0,0,0,0
20150628,12.8,10.6,0,0,0.78,9.39,1,0,0,0,0,0,0
20150628,12.2,9.4,1,0,0.65,9.83,1,0,0,0,0,0,0
20150628,11.7,8.9,1,0,0.59,9.69,1,0,0,0,0,0,0
20150628,11.7,8.3,1,0,0.56,9.37,0,0,0,1,0,0,0
20150628,11.7,7.8,1,0,0.55,9.42,0,0,0,1,0,0,0
20150628,10.6,3.9,1,0,0.51,12.64,0,0,0,1,0,0,0
20150628,10.6,2.8,1,0,0.51,12.71,0,0,0,1,0,0,0
20150628,10,1.7,1,0,0.5,11.75,0,0,0,1,0,0,0
20150628,8.9,1.7,1,0,0.5,11.11,0,0,0,1,0,0,0
20150628,9.4,-0.6,1,0,0.5,12.96,0,0,0,1,0,0,0
20150628,9.4,-0.6,0,0,0.51,9.44,0,0,0,1,0,0,0
20150628,8.9,-1.1,0,0,0.52,8.55,0,0,0,1,0,0,0
20150628,8.9,-1.7,0,0,0.54,8.15,0,0,0,1,0,0,0
20150628,8.3,-2.2,0,0,0.58,6.87,0,0,0,1,0,0,0
20150628,7.2,-2.8,0,0,0.59,6.93,0,0,0,1,0,0,0
20150628,6.7,-2.8,0,0,0.59,7.56,0,0,0,1,0,0,0
20150628,6.7,-2.2,0,0,0.58,7.69,0,0,0,1,0,0,0
20150628,6.1,-1.7,0,0,0.59,5.81,0,0,0,1,0,0,0
20150628,5.6,-2.2,0,0,0.6,5.96,0,0,0,1,0,0,0
20150628,5,-3.3,0,0,0.61,4.11,0,0,0,1,0,0,0
20150628,4.4,-4.4,0,0,0.64,2.75,0,0,0,1,0,0,0
20150628,3.9,-4.4,0,0,0.65,2.31,0,0,0,1,0,0,0
20150628,3.3,-5,0,0,0.64,3.58,0,0,0,1,0,0,0
20150628,2.8,-4.4,0,0,0.63,2.11,0,1,0,0,0,0,0
20150628,2.2,-5,0,0,0.61,3.74,0,1,0,0,0,0,0
20150628,2.2,-5,1,0,0.6,2.76,0,1,0,0,0,0,0
20150628,2.2,-5,1,0,0.68,2.41,0,1,0,0,0,0,0
20150628,1.7,-5.6,1,0,0.75,2.22,0,1,0,0,0,0,0
20150628,1.7,-6.1,1,0,0.72,1.16,0,1,0,0,0,0,0
20150628,1.7,-6.1,1,0,0.71,0.35,0,1,0,0,0,0,0
20150628,1.266666667,-3.566666667,1,0,0.7,1.83,0,0,0,1,0,0,0
20150628,0.933333333,-2.2,1,0,0.69,2.51,0,0,0,1,0,0,0
20150628,1.7,-2.8,1,0,0.69,2.72,0,0,0,1,0,0,0
20150628,2.2,-2.8,1,0,0.69,2.76,0,0,0,1,0,0,0
20150628,2.8,-2.2,0,0,0.72,4.23,0,0,0,1,0,0,0
20150628,2.5,-2.8,0,0,0.74,2.25,0,0,0,1,0,0,0
20150628,3.3,-2.8,0,0,0.75,1.61,0,0,0,1,0,0,0
20150628,3.3,-2.2,0,0,0.77,1.7,0,0,0,1,0,0,0
20150628,3.3,-1.7,0,0,0.8,1.83,0,0,0,1,0,0,0
20150628,3.3,-1.4,0,0,0.81,1.05,0,0,0,1,0,0,0
20150628,3.3,-1.1,0,0,0.82,0.4,1,0,0,0,0,0,0
20150628,3.9,-0.6,0,0,0.81,0.7,1,0,0,0,0,0,0
20150628,3.9,-0.3,0,0,0.82,0.24,1,0,0,0,0,0,0
20150628,3.9,-0.3,0,0,0.84,0.45,1,0,0,0,0,0,0
20150628,3.9,-0.6,0,0,0.83,0.66,1,0,0,0,0,0,0
20150628,3.9,-2.2,0,0,0.84,0.23,1,0,0,0,0,0,0
20150628,3.9,-2.2,0,0,0.85,0.15,1,0,0,0,0,0,0
20150628,3.3,-2.2,0,0,0.86,0.23,1,0,0,0,0,0,0
20150628,3.3,-1.1,0,0,0.86,0.13,0,0,0,1,0,0,0
20150628,3.3,-1.1,1,0,0.92,0.73,0,0,0,1,0,0,0
20150628,3.3,-1.1,1,0,0.91,0.68,0,0,0,1,0,0,0
20150628,2.6,-0.8,1,0,0.81,1.02,0,0,0,1,0,0,0
20150628,5,0.6,1,0,0.74,4.51,0,0,0,1,0,0,0
20150628,5,1.1,1,0,0.72,6.06,0,1,0,0,0,0,0
20150628,5.6,1.7,1,0,0.72,5.92,0,1,0,0,0,0,0
20150628,6.1,1.1,1,0,0.75,8.09,0,1,0,0,0,0,0
20150628,6.7,1.1,1,0.73,0.82,6.66,0,1,0,0,0,0,0
20150628,7.2,1.1,1,1,0.85,5.58,0,0,0,0,1,0,0
20150628,7.2,1.7,0,1,0.88,5.4,0,0,0,0,1,0,0
20150628,6.7,2.2,0,1,0.9,5.4,0,0,0,0,1,0,0
20150629,6.1,3.05,0,1,0.93,7.91,0,0,0,0,1,0,0
20150629,6.1,3.3,0,1,0.95,8.59,0,0,0,0,1,0,0
20150629,6.1,4.4,0,1,0.96,7.79,0,0,0,0,1,0,0
20150629,6.1,5,0,1,0.96,7.76,0,0,0,0,1,0,0
20150629,6.775,5.55,0,1,0.96,4.8,0,0,0,0,1,0,0
20150629,-11.1,-20.6,0,0,0.6,5.57,1,0,0,0,0,0,0
20150629,-11.7,-20.6,0,0,0.61,5.17,1,0,0,0,0,0,0
20150629,-12.2,-20.6,0,0,0.62,4.66,1,0,0,0,0,0,0
20150629,-12.2,-20,0,0,0.62,4.38,1,0,0,0,0,0,0
20150629,-12.8,-20,0,0,0.62,4.19,1,0,0,0,0,0,0
20150629,-12.8,-20,0,0,0.62,4.83,1,0,0,0,0,0,0
20150629,-12.8,-20,0,0,0.63,4.58,1,0,0,0,0,0,0
20150629,-13.3,-20,0,0,0.64,4.4,1,0,0,0,0,0,0
20150629,-13.3,-20.6,1,0,0.65,4.05,1,0,0,0,0,0,0
20150629,-13.3,-20.6,1,0,0.62,4.61,1,0,0,0,0,0,0
20150629,-13.9,-20.6,1,0,0.57,5.86,1,0,0,0,0,0,0
20150629,-13.9,-20.6,1,0,0.52,6.2,1,0,0,0,0,0,0
20150629,-13.9,-20,1,0,0.49,6.24,1,0,0,0,0,0,0
20150629,-13.3,-19.4,1,0,0.45,6.4,1,0,0,0,0,0,0
20150629,-11.7,-19.4,1,0,0.42,6.13,1,0,0,0,0,0,0
20150629,-11.1,-20,1,0,0.39,5.69,1,0,0,0,0,0,0
20150629,-10,-20,1,0,0.39,5.67,1,0,0,0,0,0,0
20150629,-9.4,-20.6,0,0,0.41,2.89,1,0,0,0,0,0,0
20150629,-8.3,-20.6,0,0,0.42,2.88,1,0,0,0,0,0,0
20150629,-7.8,-20.6,0,0,0.45,2.06,1,0,0,0,0,0,0
20150629,-7.8,-21.1,0,0,0.48,2.31,1,0,0,0,0,0,0
20150629,-7.8,-20.6,0,0,0.5,2.61,1,0,0,0,0,0,0
20150629,-7.8,-21.1,0,0,0.55,4.34,1,0,0,0,0,0,0
20150629,-8.3,-20,0,0,0.6,4.63,1,0,0,0,0,0,0
20150629,-8.3,-20,0,0,0.61,4.3,1,0,0,0,0,0,0
20150629,-8.3,-18.9,0,0,0.6,5.87,1,0,0,0,0,0,0
20150629,-8.3,-17.8,0,0,0.59,5.63,1,0,0,0,0,0,0
20150629,-8.9,-16.7,0,0,0.59,5.77,1,0,0,0,0,0,0
